"Source:","C:\Users\ilya\git\pcb\hls_adapter\hls_adapter.kicad_sch"
"Date:","3/6/2024 8:05:39 PM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","5"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","22uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"J1","1","JST GH 1.25 6P SKT VERT SMD","Conn_01x06_MountingPin","Connector_JST:JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical","Generic connectable mounting pin connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","Molex PicoBlade 1.25 8P SKT VERT","Conn_01x08","Makerspet:Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","SMW200-H02G 2.0 2P SKT VERT","Conn_01x02","Makerspet:SMW200_02","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","JST PH B4B SKT VERT SMD","Conn_01x04","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
